Qty, t
0, 0.000000
1, 0.006000
2, 0.011000
3, 0.020000
4, 0.028000
5, 0.031000
6, 0.035000
7, 0.050000
8, 0.054000
9, 0.057000
10, 0.066000
11, 0.071000
12, 0.077000
13, 0.086000
14, 0.091000
15, 0.118000
16, 0.123000
17, 0.128000
18, 0.136000
19, 0.147000
20, 0.151000
21, 0.161000
22, 0.165000
23, 0.175000
24, 0.194000
25, 0.199000
26, 0.206000
27, 0.214000
28, 0.219000
29, 0.223000
30, 0.227000
31, 0.231000
32, 0.234000
33, 0.240000
34, 0.245000
35, 0.254000
36, 0.265000
37, 0.270000
38, 0.275000
39, 0.286000
40, 0.292000
41, 0.300000
42, 0.303000
43, 0.308000
44, 0.347000
45, 0.351000
46, 0.354000
47, 0.357000
48, 0.365000
49, 0.368000
50, 0.382000
51, 0.391000
52, 0.402000
53, 0.405000
54, 0.413000
55, 0.416000
56, 0.423000
57, 0.428000
58, 0.433000
59, 0.446000
60, 0.449000
