Qty, t
10, 0.000000
11, 2.034000
12, 3.875000
13, 5.117000
14, 6.571000
15, 7.829000
16, 9.080000
17, 10.526000
18, 11.782000
19, 13.237000
20, 14.493000
21, 15.934000
22, 17.381001
23, 18.625999
24, 20.465000
25, 21.708000
26, 22.947001
27, 24.395000
28, 25.636999
29, 26.886999
30, 28.341000
31, 29.834000
32, 31.337999
33, 33.118000
34, 34.611000
35, 36.098999
36, 37.589001
37, 39.082001
38, 41.404999
39, 43.174000
40, 45.219002
41, 46.654999
42, 47.698002
43, 48.750999
44, 49.787998
45, 50.960999
46, 52.002998
47, 53.040001
48, 54.465000
49, 55.627998
50, 56.673000
51, 58.589001
52, 60.485001
53, 62.075001
54, 63.660999
55, 65.255997
56, 67.148003
57, 68.761002
58, 70.356003
59, 72.276001
60, 74.192001
