Qty, t
10, 0.000000
11, 0.028000
12, 0.033000
13, 0.040000
14, 0.064000
15, 0.072000
16, 0.080000
17, 0.108000
18, 0.129000
19, 0.132000
20, 0.175000
21, 0.542000
22, 0.546000
23, 0.550000
24, 0.553000
25, 0.554000
26, 0.557000
27, 0.560000
28, 0.564000
29, 0.570000
30, 0.572000
31, 0.591000
32, 0.606000
33, 0.616000
34, 0.629000
35, 0.636000
36, 0.649000
37, 0.661000
38, 0.664000
39, 0.681000
40, 0.689000
41, 0.697000
42, 0.709000
43, 0.720000
44, 0.727000
45, 0.741000
46, 0.745000
47, 0.752000
48, 0.778000
49, 0.800000
50, 0.823000
51, 0.839000
52, 0.854000
53, 0.862000
54, 0.872000
55, 0.882000
56, 0.888000
57, 0.896000
58, 0.904000
59, 0.921000
60, 0.925000
