Qty, t
10, 0.000000
11, 0.007000
12, 0.014000
13, 0.058000
14, 0.071000
15, 0.114000
16, 0.158000
17, 0.165000
18, 0.210000
19, 0.218000
20, 0.266000
21, 0.270000
22, 0.274000
23, 0.277000
24, 0.282000
25, 0.285000
26, 0.308000
27, 0.313000
28, 0.315000
29, 0.319000
30, 0.323000
31, 0.331000
32, 0.335000
33, 0.337000
34, 0.346000
35, 0.351000
36, 0.354000
37, 0.368000
38, 0.380000
39, 0.387000
40, 0.390000
41, 0.395000
42, 0.399000
43, 0.402000
44, 0.409000
45, 0.411000
46, 0.413000
47, 0.417000
48, 0.419000
49, 0.421000
50, 0.425000
51, 0.479000
52, 0.497000
53, 0.500000
54, 0.502000
55, 0.505000
56, 0.507000
57, 0.509000
58, 0.523000
59, 0.527000
60, 0.530000
