Qty, t
10, 0.000000
11, 0.018000
12, 0.034000
13, 0.037000
14, 0.045000
15, 0.048000
16, 0.051000
17, 0.055000
18, 0.059000
19, 0.062000
20, 0.069000
21, 0.072000
22, 0.078000
23, 0.084000
24, 0.094000
25, 0.097000
26, 0.099000
27, 0.103000
28, 0.111000
29, 0.117000
30, 0.124000
31, 0.140000
32, 0.145000
33, 0.193000
34, 0.237000
35, 0.285000
36, 0.290000
37, 0.333000
38, 0.381000
39, 0.388000
40, 0.395000
41, 0.403000
42, 0.408000
43, 0.410000
44, 0.412000
45, 0.414000
46, 0.420000
47, 0.424000
48, 0.426000
49, 0.430000
50, 0.434000
51, 0.435000
52, 0.437000
53, 0.438000
54, 0.440000
55, 0.441000
56, 0.442000
57, 0.443000
58, 0.444000
59, 0.448000
60, 0.450000
