Qty, t
0, 0.000000
1, 0.017000
2, 0.022000
3, 0.028000
4, 0.042000
5, 0.046000
6, 0.050000
7, 0.058000
8, 0.062000
9, 0.065000
10, 0.071000
11, 0.075000
12, 0.079000
13, 0.083000
14, 0.086000
15, 0.089000
16, 0.092000
17, 0.097000
18, 0.106000
19, 0.129000
20, 0.134000
21, 0.143000
22, 0.148000
23, 0.155000
24, 0.165000
25, 0.168000
26, 0.172000
27, 0.187000
28, 0.191000
29, 0.201000
30, 0.212000
31, 0.216000
32, 0.236000
33, 0.240000
34, 0.248000
35, 0.254000
36, 0.257000
37, 0.263000
38, 0.266000
39, 0.272000
40, 0.284000
41, 0.290000
42, 0.297000
43, 0.302000
44, 0.306000
45, 0.312000
46, 0.316000
47, 0.327000
48, 0.337000
49, 0.343000
50, 0.352000
51, 0.357000
52, 0.363000
53, 0.366000
54, 0.370000
55, 0.376000
56, 0.380000
57, 0.385000
58, 0.390000
59, 0.395000
60, 0.401000
