Qty, t
0, 0.000000
1, 0.074000
2, 0.076000
3, 0.084000
4, 0.121000
5, 0.163000
6, 0.208000
7, 0.251000
8, 0.253000
9, 0.296000
10, 0.303000
11, 0.351000
12, 0.395000
13, 0.401000
14, 0.443000
15, 0.480000
16, 0.527000
17, 0.533000
18, 0.537000
19, 0.539000
20, 0.587000
21, 0.595000
22, 0.600000
23, 0.647000
24, 0.670000
25, 0.715000
26, 0.720000
27, 0.727000
28, 0.731000
29, 0.733000
30, 0.775000
31, 0.786000
32, 0.788000
33, 0.831000
34, 0.880000
35, 0.924000
36, 0.926000
37, 0.968000
38, 1.013000
39, 1.015000
40, 1.018000
41, 1.064000
42, 1.107000
43, 1.109000
44, 1.112000
45, 1.155000
46, 1.204000
47, 1.248000
48, 1.252000
49, 1.254000
50, 1.258000
51, 1.260000
52, 1.264000
53, 1.311000
54, 1.313000
55, 1.355000
56, 1.357000
57, 1.416000
58, 1.460000
59, 1.464000
60, 1.511000
