Qty, t
0, 0.000000
1, 0.028000
2, 0.033000
3, 0.041000
4, 0.058000
5, 0.064000
6, 0.067000
7, 0.075000
8, 0.081000
9, 0.084000
10, 0.092000
11, 0.098000
12, 0.100000
13, 0.102000
14, 0.104000
15, 0.109000
16, 0.115000
17, 0.134000
18, 0.146000
19, 0.154000
20, 0.157000
21, 0.174000
22, 0.185000
23, 0.189000
24, 0.195000
25, 0.198000
26, 0.202000
27, 0.208000
28, 0.215000
29, 0.223000
30, 0.232000
31, 0.240000
32, 0.247000
33, 0.254000
34, 0.258000
35, 0.264000
36, 0.269000
37, 0.275000
38, 0.278000
39, 0.283000
40, 0.290000
41, 0.294000
42, 0.298000
43, 0.301000
44, 0.304000
45, 0.322000
46, 0.343000
47, 0.348000
48, 0.354000
49, 0.358000
50, 0.368000
51, 0.371000
52, 0.376000
53, 0.379000
54, 0.383000
55, 0.388000
56, 0.397000
57, 0.401000
58, 0.403000
59, 0.408000
60, 0.413000
