Qty, t
10, 0.000000
11, 0.204000
12, 0.206000
13, 0.207000
14, 0.213000
15, 0.258000
16, 0.303000
17, 0.305000
18, 0.346000
19, 0.356000
20, 0.362000
21, 0.368000
22, 0.372000
23, 0.374000
24, 0.376000
25, 0.379000
26, 0.382000
27, 0.387000
28, 0.388000
29, 0.394000
30, 0.399000
31, 0.404000
32, 0.408000
33, 0.411000
34, 0.414000
35, 0.416000
36, 0.419000
37, 0.422000
38, 0.429000
39, 0.432000
40, 0.441000
41, 0.497000
42, 0.498000
43, 0.500000
44, 0.501000
45, 0.503000
46, 0.504000
47, 0.505000
48, 0.508000
49, 0.509000
50, 0.510000
51, 0.517000
52, 0.524000
53, 0.525000
54, 0.529000
55, 0.531000
56, 0.534000
57, 0.538000
58, 0.541000
59, 0.546000
60, 0.550000
