Qty, t
10, 0.000000
11, 0.203000
12, 0.205000
13, 0.206000
14, 0.242000
15, 0.286000
16, 0.330000
17, 0.332000
18, 0.374000
19, 0.422000
20, 0.424000
21, 0.429000
22, 0.431000
23, 0.434000
24, 0.435000
25, 0.437000
26, 0.440000
27, 0.444000
28, 0.451000
29, 0.456000
30, 0.463000
31, 0.470000
32, 0.472000
33, 0.474000
34, 0.476000
35, 0.479000
36, 0.482000
37, 0.487000
38, 0.489000
39, 0.496000
40, 0.505000
41, 0.519000
42, 0.520000
43, 0.522000
44, 0.523000
45, 0.525000
46, 0.527000
47, 0.531000
48, 0.533000
49, 0.535000
50, 0.536000
51, 0.557000
52, 0.562000
53, 0.566000
54, 0.568000
55, 0.570000
56, 0.573000
57, 0.577000
58, 0.579000
59, 0.583000
60, 0.586000
