Qty, t
10, 0.000000
11, 0.007000
12, 0.049000
13, 0.092000
14, 0.096000
15, 0.143000
16, 0.194000
17, 0.197000
18, 0.201000
19, 0.204000
20, 0.249000
21, 0.397000
22, 0.401000
23, 0.405000
24, 0.407000
25, 0.410000
26, 0.413000
27, 0.417000
28, 0.423000
29, 0.426000
30, 0.430000
31, 0.444000
32, 0.449000
33, 0.452000
34, 0.454000
35, 0.458000
36, 0.463000
37, 0.465000
38, 0.467000
39, 0.470000
40, 0.475000
41, 0.534000
42, 0.559000
43, 0.562000
44, 0.563000
45, 0.564000
46, 0.565000
47, 0.566000
48, 0.567000
49, 0.568000
50, 0.569000
51, 0.619000
52, 0.625000
53, 0.627000
54, 0.630000
55, 0.632000
56, 0.635000
57, 0.639000
58, 0.641000
59, 0.645000
60, 0.647000
