Qty, t
10, 0.000000
11, 1.228000
12, 2.105000
13, 2.857000
14, 4.087000
15, 4.844000
16, 5.602000
17, 6.467000
18, 7.233000
19, 7.974000
20, 8.843000
21, 9.749000
22, 10.902000
23, 11.685000
24, 12.598000
25, 13.382000
26, 14.162000
27, 15.070000
28, 15.860000
29, 16.778999
30, 17.583000
31, 18.583000
32, 19.590000
33, 20.791000
34, 21.792000
35, 22.809999
36, 23.823000
37, 24.832001
38, 26.452999
39, 27.662001
40, 29.049999
41, 30.822001
42, 31.995001
43, 33.173000
44, 34.352001
45, 35.806000
46, 36.997002
47, 38.188999
48, 40.145000
49, 41.589001
50, 42.784000
51, 45.659000
52, 47.011002
53, 48.367001
54, 50.344002
55, 51.688000
56, 53.056999
57, 54.720001
58, 56.379002
59, 58.033001
60, 59.389999
