Qty, t
10, 0.000000
11, 0.872000
12, 1.661000
13, 2.194000
14, 2.809000
15, 3.344000
16, 3.875000
17, 4.486000
18, 5.011000
19, 5.628000
20, 6.156000
21, 6.764000
22, 7.372000
23, 7.899000
24, 8.720000
25, 9.249000
26, 9.776000
27, 10.385000
28, 10.909000
29, 11.431000
30, 12.121000
31, 13.780000
32, 14.841000
33, 15.715000
34, 16.587000
35, 17.451000
36, 18.513000
37, 19.384001
38, 20.257000
39, 21.327999
40, 22.393000
41, 24.558001
42, 25.480000
43, 26.403999
44, 27.325001
45, 28.468000
46, 29.393999
47, 30.320000
48, 31.888000
49, 33.025002
50, 33.948002
51, 36.797001
52, 37.928001
53, 39.039001
54, 40.708000
55, 41.819000
56, 42.931999
57, 44.324001
58, 45.723000
59, 47.118000
60, 48.230999
